name,rank,model,chain_i,chain_j,iLIS,iLIA,iLISA,ipSAE,actifpTM,LIS,cLIS,LIA,cLIA,ipTM,pLDDT_i,pLDDT_j,pTM,LIR_i,LIR_j,cLIR_i,cLIR_j,LIpLDDT_i,LIpLDDT_j,cLIpLDDT_i,cLIpLDDT_j,len_i,len_j,LIR_indices_i,LIR_indices_j,cLIR_indices_i,cLIR_indices_j
aPKC___CG6813,5,5,A,B,0.0000,0.0,0.0,0.0000,0.2152,0.0000,0.0000,0.0,0.0,0.1900,44.0,53.1,0.400,0,0,0,0,,,,,958,294,,,,
aPKC___CG6843,1,2,A,B,0.4305,1314.0,565.6,0.5219,0.9691,0.3236,0.5726,20555.0,84.0,0.3800,47.0,37.6,0.400,347,48,24,15,90.1,72.2,81.8,65.6,958,366,[608-954],[1-48],"[625-627,703,706-707,710,742-744,778-780,807,811-813,816,819-821,827,829,832]","[1-6,8-9,11-17]"
aPKC___CG6843,2,3,A,B,0.0748,180.3,13.5,0.0156,0.6449,0.0692,0.0809,1807.0,18.0,0.2200,46.1,30.9,0.380,286,13,13,8,91.4,39.9,86.0,38.8,958,366,"[612-651,662-670,674-766,770-816,827-869,875-885,887-904,909-923,933,936-938,940-941,944-947]","[5-15,17-18]","[703,706-707,742-744,778-781,813,816,832]","[5-6,8-9,12-15]"
aPKC___CG6843,3,1,A,B,0.0176,4.5,0.1,0.0000,0.5149,0.0135,0.0229,10.0,2.0,0.2100,45.1,28.3,0.380,9,2,2,1,84.5,33.9,83.0,34.6,958,366,"[703,742,744,761-762,778,807,813,833]","[10,12]","[703,744]",[12]
aPKC___CG6843,4,5,A,B,0.0887,258.4,22.9,0.0163,0.7215,0.0816,0.0963,2385.0,28.0,0.2100,45.6,32.4,0.380,295,14,17,8,90.9,41.2,82.5,39.2,958,366,"[612-651,659-671,674-766,770-816,826-870,875-885,887-904,908-923,926,932-933,936-938,940-941,944-947]","[3-13,15,17-18]","[703,706-707,710,742-744,778-780,807,811-813,815-816,827]","[3-5,7-9,11-12]"
aPKC___CG6843,5,4,A,B,0.0000,0.0,0.0,0.0000,0.4802,0.0060,0.0000,5.0,0.0,0.2100,44.2,28.8,0.380,3,2,0,0,76.0,38.8,,,958,366,"[775,778,833]",[11-12],,
aPKC___CG6907,1,2,A,B,0.0000,0.0,0.0,0.0000,0.3872,0.0000,0.0000,0.0,0.0,0.2900,44.6,64.1,0.390,0,0,0,0,,,,,958,437,,,,
aPKC___CG6907,2,5,A,B,0.0000,0.0,0.0,0.0000,0.4518,0.0000,0.0000,0.0,0.0,0.2800,44.1,62.4,0.390,0,0,0,0,,,,,958,437,,,,
aPKC___CG6907,3,4,A,B,0.0000,0.0,0.0,0.0000,0.2043,0.0000,0.0000,0.0,0.0,0.2000,44.4,58.4,0.400,0,0,0,0,,,,,958,437,,,,
aPKC___CG6907,4,3,A,B,0.0000,0.0,0.0,0.0000,0.4215,0.0000,0.0000,0.0,0.0,0.2100,43.5,60.3,0.370,0,0,0,0,,,,,958,437,,,,
aPKC___CG6907,5,1,A,B,0.0000,0.0,0.0,0.0000,0.3828,0.0000,0.0000,0.0,0.0,0.2000,42.8,62.6,0.360,0,0,0,0,,,,,958,437,,,,
aPKC___CG7101,1,1,A,B,0.0000,0.0,0.0,0.0000,0.2497,0.0000,0.0000,0.0,0.0,0.2400,40.9,45.7,0.370,0,0,0,0,,,,,958,352,,,,
aPKC___CG7101,2,2,A,B,0.0000,0.0,0.0,0.0000,0.2121,0.0000,0.0000,0.0,0.0,0.2200,42.8,49.3,0.370,0,0,0,0,,,,,958,352,,,,
aPKC___CG7101,3,3,A,B,0.0000,0.0,0.0,0.0000,0.3149,0.0000,0.0000,0.0,0.0,0.2100,42.9,46.9,0.380,0,0,0,0,,,,,958,352,,,,
aPKC___CG7101,4,4,A,B,0.0000,0.0,0.0,0.0000,0.2021,0.0000,0.0000,0.0,0.0,0.2100,43.4,51.0,0.400,0,0,0,0,,,,,958,352,,,,
aPKC___CG7101,5,5,A,B,0.0000,0.0,0.0,0.0000,0.1956,0.0000,0.0000,0.0,0.0,0.2100,43.0,47.3,0.380,0,0,0,0,,,,,958,352,,,,
aPKC___CG7271,1,1,A,B,0.0000,0.0,0.0,0.0000,0.2841,0.0000,0.0000,0.0,0.0,0.2300,42.4,66.4,0.370,0,0,0,0,,,,,958,427,,,,
aPKC___CG7271,2,3,A,B,0.0000,0.0,0.0,0.0000,0.2441,0.0000,0.0000,0.0,0.0,0.2100,43.3,69.1,0.390,0,0,0,0,,,,,958,427,,,,
aPKC___CG7271,3,2,A,B,0.0000,0.0,0.0,0.0000,0.2247,0.0000,0.0000,0.0,0.0,0.2100,43.5,70.0,0.390,0,0,0,0,,,,,958,427,,,,
aPKC___CG7271,4,4,A,B,0.0000,0.0,0.0,0.0000,0.2167,0.0000,0.0000,0.0,0.0,0.1900,42.1,68.3,0.370,0,0,0,0,,,,,958,427,,,,
aPKC___CG7271,5,5,A,B,0.0000,0.0,0.0,0.0000,0.1858,0.0000,0.0000,0.0,0.0,0.1800,42.7,70.2,0.370,0,0,0,0,,,,,958,427,,,,
aPKC___CG7368,1,3,A,B,0.0000,0.0,0.0,0.0000,0.3434,0.0000,0.0000,0.0,0.0,0.1900,45.3,23.4,0.360,0,0,0,0,,,,,958,530,,,,
aPKC___CG7368,2,4,A,B,0.0000,0.0,0.0,0.0000,0.3165,0.0000,0.0000,0.0,0.0,0.1800,43.8,24.5,0.360,0,0,0,0,,,,,958,530,,,,
aPKC___CG7368,3,1,A,B,0.0000,0.0,0.0,0.0000,0.2386,0.0000,0.0000,0.0,0.0,0.1800,44.0,23.8,0.350,0,0,0,0,,,,,958,530,,,,
aPKC___CG7368,4,5,A,B,0.0000,0.0,0.0,0.0000,0.1910,0.0000,0.0000,0.0,0.0,0.1700,45.8,25.7,0.350,0,0,0,0,,,,,958,530,,,,
aPKC___CG7368,5,2,A,B,0.0000,0.0,0.0,0.0000,0.2153,0.0000,0.0000,0.0,0.0,0.1700,45.4,25.0,0.350,0,0,0,0,,,,,958,530,,,,
aPKC___CG7386,1,1,A,B,0.0000,0.0,0.0,0.0000,0.2376,0.0000,0.0000,0.0,0.0,0.2100,41.3,41.4,0.350,0,0,0,0,,,,,958,662,,,,
aPKC___CG7386,2,3,A,B,0.0000,0.0,0.0,0.0000,0.2562,0.0000,0.0000,0.0,0.0,0.2100,42.5,40.1,0.350,0,0,0,0,,,,,958,662,,,,
aPKC___CG7386,3,2,A,B,0.0000,0.0,0.0,0.0000,0.2473,0.0000,0.0000,0.0,0.0,0.1900,42.5,44.6,0.340,0,0,0,0,,,,,958,662,,,,
aPKC___CG7386,4,4,A,B,0.0000,0.0,0.0,0.0000,0.1980,0.0000,0.0000,0.0,0.0,0.1900,40.6,44.5,0.340,0,0,0,0,,,,,958,662,,,,
aPKC___CG7386,5,5,A,B,0.0000,0.0,0.0,0.0000,0.2048,0.0000,0.0000,0.0,0.0,0.1800,42.6,43.1,0.350,0,0,0,0,,,,,958,662,,,,
aPKC___CG7556,1,1,A,B,0.0000,0.0,0.0,0.0000,0.2772,0.0000,0.0000,0.0,0.0,0.1800,45.2,52.2,0.360,0,0,0,0,,,,,958,522,,,,
aPKC___CG7556,2,2,A,B,0.0000,0.0,0.0,0.0000,0.3147,0.0000,0.0000,0.0,0.0,0.1800,45.9,54.4,0.350,0,0,0,0,,,,,958,522,,,,
aPKC___CG7556,3,5,A,B,0.0000,0.0,0.0,0.0000,0.2423,0.0000,0.0000,0.0,0.0,0.1800,45.0,50.8,0.350,0,0,0,0,,,,,958,522,,,,
aPKC___CG7556,4,4,A,B,0.0000,0.0,0.0,0.0000,0.2076,0.0000,0.0000,0.0,0.0,0.1800,42.7,49.1,0.340,0,0,0,0,,,,,958,522,,,,
aPKC___CG7556,5,3,A,B,0.0000,0.0,0.0,0.0000,0.1698,0.0000,0.0000,0.0,0.0,0.1700,45.1,50.8,0.360,0,0,0,0,,,,,958,522,,,,
aPKC___CG7691,1,5,A,B,0.3967,1171.5,464.7,0.5067,0.9501,0.3060,0.5144,15420.0,89.0,0.3800,44.1,35.6,0.400,349,34,23,16,83.4,47.4,81.9,49.5,958,283,[607-955],[71-104],"[703,706-713,715-716,743,807,810-813,816-818,844,900-901]","[73,76-82,84-85,94,96-99,101]"
aPKC___CG7691,2,3,A,B,0.0000,0.0,0.0,0.0000,0.4162,0.0000,0.0000,0.0,0.0,0.2600,44.3,37.3,0.390,0,0,0,0,,,,,958,283,,,,
aPKC___CG7691,3,1,A,B,0.0000,0.0,0.0,0.0000,0.2336,0.0000,0.0000,0.0,0.0,0.2200,42.1,32.8,0.400,0,0,0,0,,,,,958,283,,,,
aPKC___CG7691,4,4,A,B,0.0000,0.0,0.0,0.0000,0.3234,0.0000,0.0000,0.0,0.0,0.2200,41.8,31.7,0.380,0,0,0,0,,,,,958,283,,,,
aPKC___CG7691,5,2,A,B,0.0000,0.0,0.0,0.0000,0.2704,0.0000,0.0000,0.0,0.0,0.2100,43.5,35.2,0.380,0,0,0,0,,,,,958,283,,,,
aPKC___CG7745,1,5,A,B,0.0000,0.0,0.0,0.0000,0.2710,0.0000,0.0000,0.0,0.0,0.2000,44.7,26.8,0.360,0,0,0,0,,,,,958,506,,,,
aPKC___CG7745,2,2,A,B,0.0000,0.0,0.0,0.0000,0.3654,0.0000,0.0000,0.0,0.0,0.1900,45.4,25.4,0.360,0,0,0,0,,,,,958,506,,,,
aPKC___CG7745,3,3,A,B,0.0000,0.0,0.0,0.0000,0.3411,0.0000,0.0000,0.0,0.0,0.1900,44.8,24.9,0.360,0,0,0,0,,,,,958,506,,,,
aPKC___CG7745,4,1,A,B,0.0000,0.0,0.0,0.0000,0.2343,0.0000,0.0000,0.0,0.0,0.1900,44.2,24.8,0.370,0,0,0,0,,,,,958,506,,,,
aPKC___CG7745,5,4,A,B,0.0000,0.0,0.0,0.0000,0.2793,0.0000,0.0000,0.0,0.0,0.1800,44.3,24.2,0.370,0,0,0,0,,,,,958,506,,,,
aPKC___CG7786,1,3,A,B,0.3770,1581.5,596.2,0.4334,0.9259,0.2893,0.4913,26893.0,93.0,0.4000,46.6,44.1,0.430,344,67,27,19,89.6,72.6,84.8,68.0,958,192,[608-951],[98-164],"[625-626,655-656,659,703,706-707,743-744,763-765,772-776,789,807,811-813,816,828-829,915]","[101-103,105,108,111,115,123,126-128,130-132,134-135,137-138,141]"
aPKC___CG7786,2,5,A,B,0.0000,0.0,0.0,0.0000,0.2292,0.0000,0.0000,0.0,0.0,0.2000,46.0,36.2,0.400,0,0,0,0,,,,,958,192,,,,
aPKC___CG7786,3,1,A,B,0.0000,0.0,0.0,0.0000,0.2985,0.0000,0.0000,0.0,0.0,0.2000,45.7,33.5,0.390,0,0,0,0,,,,,958,192,,,,
aPKC___CG7786,4,2,A,B,0.0000,0.0,0.0,0.0000,0.2764,0.0000,0.0000,0.0,0.0,0.1900,46.4,34.9,0.390,0,0,0,0,,,,,958,192,,,,
aPKC___CG7786,5,4,A,B,0.0000,0.0,0.0,0.0000,0.2107,0.0000,0.0000,0.0,0.0,0.1700,45.4,35.4,0.390,0,0,0,0,,,,,958,192,,,,
aPKC___CG7963,1,3,A,B,0.0000,0.0,0.0,0.0000,0.2971,0.0000,0.0000,0.0,0.0,0.2300,43.0,43.6,0.380,0,0,0,0,,,,,958,354,,,,
aPKC___CG7963,2,1,A,B,0.0000,0.0,0.0,0.0000,0.2302,0.0000,0.0000,0.0,0.0,0.2300,41.7,44.6,0.370,0,0,0,0,,,,,958,354,,,,
aPKC___CG7963,3,2,A,B,0.0000,0.0,0.0,0.0000,0.2411,0.0000,0.0000,0.0,0.0,0.2100,42.5,46.6,0.370,0,0,0,0,,,,,958,354,,,,
aPKC___CG7963,4,4,A,B,0.0000,0.0,0.0,0.0000,0.1914,0.0000,0.0000,0.0,0.0,0.2000,41.2,45.9,0.370,0,0,0,0,,,,,958,354,,,,
aPKC___CG7963,5,5,A,B,0.0000,0.0,0.0,0.0000,0.2114,0.0000,0.0000,0.0,0.0,0.1800,43.0,47.1,0.370,0,0,0,0,,,,,958,354,,,,
aPKC___CG8089,1,1,A,B,0.0000,0.0,0.0,0.0000,0.3177,0.0000,0.0000,0.0,0.0,0.2300,39.8,36.6,0.350,0,0,0,0,,,,,958,624,,,,
aPKC___CG8089,2,2,A,B,0.0000,0.0,0.0,0.0000,0.2966,0.0000,0.0000,0.0,0.0,0.2200,41.0,40.0,0.350,0,0,0,0,,,,,958,624,,,,
aPKC___CG8089,3,5,A,B,0.0000,0.0,0.0,0.0000,0.2875,0.0000,0.0000,0.0,0.0,0.2100,42.4,40.1,0.350,0,0,0,0,,,,,958,624,,,,
aPKC___CG8089,4,4,A,B,0.0000,0.0,0.0,0.0000,0.2193,0.0000,0.0000,0.0,0.0,0.2100,39.2,37.8,0.350,0,0,0,0,,,,,958,624,,,,
aPKC___CG8089,5,3,A,B,0.0000,0.0,0.0,0.0000,0.2626,0.0000,0.0000,0.0,0.0,0.2100,42.0,39.2,0.350,0,0,0,0,,,,,958,624,,,,
aPKC___CG8119,1,2,A,B,0.1629,1323.0,215.5,0.0666,0.7472,0.1197,0.2217,14833.0,118.0,0.3900,45.1,50.8,0.420,321,107,36,29,90.7,74.7,81.8,61.6,958,244,"[611-815,826-870,875-885,887-904,908-949]",[12-118],"[625-627,656,659-660,687,703,706-707,740,742,744,760-761,774-780,782,811-812,829,930,933-939,942-943]","[28-29,31,34-36,38-39,42,61,64-65,68-69,76,95,97,100,104-112,115,117]"
aPKC___CG8119,2,3,A,B,0.1246,291.3,36.3,0.0165,0.6523,0.1032,0.1504,2233.0,38.0,0.2800,43.4,46.7,0.400,290,11,17,9,87.9,32.6,81.1,33.4,958,244,"[611-652,655-709,711-815,828-870,875-885,887-903,931-947]",[105-115],"[625-627,739-740,742,744,760-761,774-780,829]","[105-112,114]"
aPKC___CG8119,3,4,A,B,0.0000,0.0,0.0,0.0000,0.4222,0.0127,0.0000,84.0,0.0,0.2400,42.4,44.7,0.400,76,2,0,0,87.9,26.5,,,958,244,"[616,618,620,631-634,641-644,669,676,680-682,684-689,691,693,695-697,704-705,714,717-718,727,729-732,734-735,742,747-748,753-755,771,773,779,785,790-792,794-795,798-799,805-806,808-810,833-835,837,851,854-855,859,861,863,867,878-879,881,883]",[109-110],,
aPKC___CG8119,4,1,A,B,0.0000,0.0,0.0,0.0000,0.2398,0.0000,0.0000,0.0,0.0,0.2400,43.4,42.5,0.400,0,0,0,0,,,,,958,244,,,,
aPKC___CG8119,5,5,A,B,0.0000,0.0,0.0,0.0000,0.4518,0.0042,0.0000,2.0,0.0,0.2300,43.5,45.3,0.400,2,1,0,0,86.2,25.8,,,958,244,"[684,779]",[110],,
aPKC___CG8159,1,1,A,B,0.1132,360.2,40.8,0.0174,0.7247,0.1007,0.1273,2317.0,56.0,0.2700,42.5,38.8,0.370,304,13,26,9,85.5,36.8,78.3,39.0,958,399,"[611-652,658-672,674-709,711-767,770-815,828-870,875-885,887-903,909-927,929,931-947]",[89-101],"[624-626,660,703,706-707,739-740,742-744,758,760-761,774-780,782,786,915,917]","[90-97,99]"
aPKC___CG8159,2,3,A,B,0.0000,0.0,0.0,0.0000,0.4263,0.0125,0.0000,17.0,0.0,0.2400,43.5,39.4,0.380,12,3,0,0,94.5,31.1,,,958,399,"[714,717-718,743,755,803,832,851-852,878,881,883]","[92-93,97]",,
aPKC___CG8159,3,4,A,B,0.0000,0.0,0.0,0.0000,0.4306,0.0077,0.0000,2.0,0.0,0.2300,42.0,40.7,0.370,2,1,0,0,92.8,23.2,,,958,399,"[878,881]",[119],,
aPKC___CG8159,4,5,A,B,0.0000,0.0,0.0,0.0000,0.2611,0.0000,0.0000,0.0,0.0,0.1900,43.5,42.2,0.370,0,0,0,0,,,,,958,399,,,,
aPKC___CG8159,5,2,A,B,0.0000,0.0,0.0,0.0000,0.2030,0.0000,0.0000,0.0,0.0,0.1900,43.6,41.5,0.370,0,0,0,0,,,,,958,399,,,,
aPKC___CG8301,1,3,A,B,0.0000,0.0,0.0,0.0000,0.4737,0.0008,0.0000,1.0,0.0,0.2500,40.7,41.4,0.360,1,1,0,0,91.9,43.4,,,958,607,[881],[349],,
aPKC___CG8301,2,4,A,B,0.0000,0.0,0.0,0.0000,0.3681,0.0000,0.0000,0.0,0.0,0.2400,39.0,46.7,0.350,0,0,0,0,,,,,958,607,,,,
aPKC___CG8301,3,1,A,B,0.0000,0.0,0.0,0.0000,0.3367,0.0000,0.0000,0.0,0.0,0.2300,39.3,42.2,0.350,0,0,0,0,,,,,958,607,,,,
aPKC___CG8301,4,2,A,B,0.0000,0.0,0.0,0.0000,0.3266,0.0000,0.0000,0.0,0.0,0.2200,40.9,47.4,0.350,0,0,0,0,,,,,958,607,,,,
aPKC___CG8301,5,5,A,B,0.0000,0.0,0.0,0.0000,0.3044,0.0000,0.0000,0.0,0.0,0.2100,40.9,46.0,0.350,0,0,0,0,,,,,958,607,,,,
aPKC___CG8319,1,5,A,B,0.0000,0.0,0.0,0.0000,0.4463,0.0000,0.0000,0.0,0.0,0.2400,42.9,50.3,0.380,0,0,0,0,,,,,958,383,,,,
aPKC___CG8319,2,3,A,B,0.0000,0.0,0.0,0.0000,0.2953,0.0000,0.0000,0.0,0.0,0.2100,43.4,44.0,0.380,0,0,0,0,,,,,958,383,,,,
aPKC___CG8319,3,2,A,B,0.0000,0.0,0.0,0.0000,0.3218,0.0000,0.0000,0.0,0.0,0.2100,43.2,50.0,0.370,0,0,0,0,,,,,958,383,,,,
aPKC___CG8319,4,1,A,B,0.0000,0.0,0.0,0.0000,0.2285,0.0000,0.0000,0.0,0.0,0.2100,41.7,45.1,0.370,0,0,0,0,,,,,958,383,,,,
aPKC___CG8319,5,4,A,B,0.0000,0.0,0.0,0.0000,0.2270,0.0000,0.0000,0.0,0.0,0.2000,41.7,44.8,0.380,0,0,0,0,,,,,958,383,,,,
aPKC___CG8388,1,1,A,B,0.0000,0.0,0.0,0.0000,0.2442,0.0000,0.0000,0.0,0.0,0.2000,43.2,47.4,0.360,0,0,0,0,,,,,958,572,,,,
aPKC___CG8388,2,5,A,B,0.0000,0.0,0.0,0.0000,0.2899,0.0000,0.0000,0.0,0.0,0.1900,43.4,53.5,0.340,0,0,0,0,,,,,958,572,,,,
aPKC___CG8388,3,3,A,B,0.0000,0.0,0.0,0.0000,0.1816,0.0000,0.0000,0.0,0.0,0.1800,42.5,48.5,0.340,0,0,0,0,,,,,958,572,,,,
aPKC___CG8388,4,2,A,B,0.0000,0.0,0.0,0.0000,0.1917,0.0000,0.0000,0.0,0.0,0.1700,42.5,54.0,0.340,0,0,0,0,,,,,958,572,,,,
aPKC___CG8388,5,4,A,B,0.0000,0.0,0.0,0.0000,0.1848,0.0000,0.0000,0.0,0.0,0.1700,41.2,51.1,0.340,0,0,0,0,,,,,958,572,,,,
aPKC___CG8478,1,5,A,B,0.3124,615.7,192.4,0.0899,0.9325,0.2520,0.3873,5123.0,74.0,0.3300,44.6,20.7,0.370,335,18,25,12,87.3,43.9,81.6,44.5,958,576,"[611-652,656-948]",[306-323],"[703,706-708,710,742-744,778-781,807,811-813,816,827-829,831-832,915-917]","[307-310,312-315,319-320,322-323]"
aPKC___CG8478,2,2,A,B,0.2685,831.6,223.3,0.0272,0.9056,0.2272,0.3174,6175.0,112.0,0.3000,45.9,21.9,0.360,336,21,31,15,90.7,40.1,83.7,42.5,958,576,"[611-819,823-949]",[301-321],"[624-627,655,657,660,703,706-707,710,740,742-745,758,760-761,774-780,807,811-813,816]","[302-315,319]"
aPKC___CG8478,3,1,A,B,0.0318,154.8,4.9,0.0108,0.6118,0.0258,0.0393,826.0,29.0,0.2300,44.2,21.0,0.380,245,9,16,8,87.1,29.6,78.2,29.8,958,576,"[613-636,639-651,657-671,676-708,712-720,722-729,731-733,735-766,770-779,781-811,813-815,830,832-838,841,844,847,850-852,854-855,857-867,876-884,888-889,891-893,895-899,913-914,916-919,921,926,932,936-938,940-942,944-945,947]",[308-316],"[623-627,630,657,660,740,742,744-745,758,760-761,778]",[309-316]
aPKC___CG8478,4,4,A,B,0.0182,12.5,0.2,0.0000,0.4994,0.0173,0.0192,52.0,3.0,0.2300,44.8,20.1,0.380,38,5,3,1,85.8,48.3,70.1,46.3,958,576,"[667,732-734,736-737,742,771,774,776,778,781,783,785-792,795-796,799,804-806,815,829,832-833,835-836,855,858,863,866,878]","[436,438-441]",[787-789],[438]
aPKC___CG8478,5,3,A,B,0.0247,44.9,1.1,0.0118,0.5690,0.0252,0.0243,403.0,5.0,0.2200,44.9,20.7,0.380,220,5,5,2,91.1,28.1,78.3,29.5,958,576,"[612-627,629-636,638-650,664-665,667-668,674-708,711-724,726-731,733-734,736-758,761-764,771-772,774-775,778-779,781-787,789-792,794-810,812-815,830-837,841-844,847-863,866-867,878-884,888-889,891-893,895-903,911,913,915,936,944]",[309-313],"[623-626,744]","[311,313]"
aPKC___CG8765,1,4,A,B,0.0000,0.0,0.0,0.0000,0.4761,0.0081,0.0000,5.0,0.0,0.2900,43.8,32.2,0.360,3,4,0,0,63.7,81.5,,,958,690,"[653,655,657]","[51-52,66,87]",,
aPKC___CG8765,2,2,A,B,0.0000,0.0,0.0,0.0000,0.3175,0.0000,0.0000,0.0,0.0,0.2300,45.2,33.2,0.350,0,0,0,0,,,,,958,690,,,,
aPKC___CG8765,3,1,A,B,0.0000,0.0,0.0,0.0000,0.2392,0.0000,0.0000,0.0,0.0,0.2000,45.1,31.5,0.360,0,0,0,0,,,,,958,690,,,,
aPKC___CG8765,4,5,A,B,0.0000,0.0,0.0,0.0000,0.2168,0.0000,0.0000,0.0,0.0,0.1900,44.4,32.8,0.340,0,0,0,0,,,,,958,690,,,,
aPKC___CG8765,5,3,A,B,0.0000,0.0,0.0,0.0000,0.2465,0.0000,0.0000,0.0,0.0,0.1800,45.1,31.5,0.360,0,0,0,0,,,,,958,690,,,,
aPKC___CG8870,1,2,A,B,0.0000,0.0,0.0,0.0000,0.2695,0.0000,0.0000,0.0,0.0,0.2700,43.3,67.0,0.390,0,0,0,0,,,,,958,356,,,,
aPKC___CG8870,2,3,A,B,0.0000,0.0,0.0,0.0000,0.2306,0.0000,0.0000,0.0,0.0,0.2400,43.2,68.3,0.380,0,0,0,0,,,,,958,356,,,,
aPKC___CG8870,3,4,A,B,0.0000,0.0,0.0,0.0000,0.1808,0.0000,0.0000,0.0,0.0,0.2300,41.7,66.7,0.380,0,0,0,0,,,,,958,356,,,,
aPKC___CG8870,4,5,A,B,0.0000,0.0,0.0,0.0000,0.2441,0.0000,0.0000,0.0,0.0,0.2200,42.9,69.2,0.380,0,0,0,0,,,,,958,356,,,,
aPKC___CG8870,5,1,A,B,0.0000,0.0,0.0,0.0000,0.1931,0.0000,0.0000,0.0,0.0,0.2200,43.0,67.1,0.390,0,0,0,0,,,,,958,356,,,,
aPKC___CG8924,1,3,A,B,0.0152,7.4,0.1,0.0116,0.4874,0.0308,0.0075,55.0,1.0,0.2100,45.3,34.1,0.370,54,2,1,1,93.0,35.9,87.1,41.5,958,514,"[613,615-619,621,623,630-634,640-644,648-649,665,676,681-682,684-688,695,697,716-718,724,727,734,736-737,754-755,762-763,772,792,796,807,850-851,854,858,883,889,947]",[513-514],[648],[514]
aPKC___CG8924,2,1,A,B,0.0000,0.0,0.0,0.0000,0.2561,0.0000,0.0000,0.0,0.0,0.1900,44.6,33.2,0.360,0,0,0,0,,,,,958,514,,,,
aPKC___CG8924,3,4,A,B,0.0000,0.0,0.0,0.0000,0.2556,0.0000,0.0000,0.0,0.0,0.1900,43.8,33.0,0.360,0,0,0,0,,,,,958,514,,,,
aPKC___CG8924,4,5,A,B,0.0000,0.0,0.0,0.0000,0.2703,0.0000,0.0000,0.0,0.0,0.1800,46.0,35.0,0.370,0,0,0,0,,,,,958,514,,,,
aPKC___CG8924,5,2,A,B,0.0000,0.0,0.0,0.0000,0.2150,0.0000,0.0000,0.0,0.0,0.1800,45.5,34.8,0.370,0,0,0,0,,,,,958,514,,,,
aPKC___CG8944,1,4,A,B,0.0000,0.0,0.0,0.0000,0.3928,0.0000,0.0000,0.0,0.0,0.2300,40.1,39.5,0.350,0,0,0,0,,,,,958,762,,,,
aPKC___CG8944,2,1,A,B,0.0000,0.0,0.0,0.0000,0.2815,0.0000,0.0000,0.0,0.0,0.2100,41.3,39.1,0.340,0,0,0,0,,,,,958,762,,,,
aPKC___CG8944,3,5,A,B,0.0000,0.0,0.0,0.0000,0.2903,0.0000,0.0000,0.0,0.0,0.2100,41.9,39.9,0.340,0,0,0,0,,,,,958,762,,,,
aPKC___CG8944,4,3,A,B,0.0000,0.0,0.0,0.0000,0.2632,0.0000,0.0000,0.0,0.0,0.2100,42.4,39.9,0.340,0,0,0,0,,,,,958,762,,,,
aPKC___CG8944,5,2,A,B,0.0000,0.0,0.0,0.0000,0.2759,0.0000,0.0000,0.0,0.0,0.2000,42.8,40.8,0.340,0,0,0,0,,,,,958,762,,,,
aPKC___CG8950,1,5,A,B,0.2994,280.6,84.0,0.0851,0.9232,0.2121,0.4227,1969.0,40.0,0.3800,42.2,75.3,0.420,8,281,4,13,45.4,86.7,62.5,92.1,958,868,[1-8],"[511-513,515-516,518-519,524-535,547-551,598-628,630,634,636-686,688,690-702,706-757,759,761-866]",[1-4],"[740-741,744,748,780,791,794,797-798,801-802,837,840]"
aPKC___CG8950,2,4,A,B,0.0387,43.8,1.7,0.0132,0.6238,0.0447,0.0336,384.0,5.0,0.2400,40.6,73.3,0.410,6,118,3,4,32.6,85.1,33.0,89.4,958,868,[1-6],"[676,679,709-735,737-754,764-781,790-796,798-821,828,832,834-835,838-851,858-859,862-863]","[3-4,6]","[744,748,802,840]"
aPKC___CG8950,3,2,A,B,0.0000,0.0,0.0,0.0000,0.3898,0.0000,0.0000,0.0,0.0,0.2100,42.6,75.7,0.420,0,0,0,0,,,,,958,868,,,,
aPKC___CG8950,4,3,A,B,0.0495,5.7,0.3,0.0109,0.5909,0.0590,0.0416,8.0,4.0,0.1900,42.3,76.4,0.400,3,4,3,3,50.3,31.9,50.3,33.3,958,868,[491-493],"[10,12-14]",[491-493],[12-14]
aPKC___CG8950,5,1,A,B,0.0000,0.0,0.0,0.0000,0.2236,0.0000,0.0000,0.0,0.0,0.1900,41.6,75.8,0.380,0,0,0,0,,,,,958,868,,,,
aPKC___CG9215,1,3,A,B,0.1113,276.6,30.8,0.0163,0.7207,0.1017,0.1217,1962.0,39.0,0.2900,42.6,29.2,0.370,285,19,22,10,87.8,35.6,83.8,36.9,958,560,"[612-651,661-671,674-766,770-815,829-869,875-885,887-904,909-923,932-933,936,938,940-941,944-947]","[236-239,267-277,287-290]","[625-626,703,706-707,742-744,758,761,778-780,807,811,840-842,844-845,852,915]","[236-237,267-269,271-275]"
aPKC___CG9215,2,5,A,B,0.0945,348.8,33.0,0.0160,0.6511,0.0957,0.0934,2295.0,53.0,0.2900,43.7,36.0,0.360,295,16,24,12,88.0,38.5,85.7,40.2,958,560,"[612-652,656-671,674-709,711-766,770-815,828-869,875-885,887-904,908-922,932-933,936-947]","[235-239,267-277]","[625-626,703,707,740,743-744,761,776-780,829,840-845,852,855-856,860]","[235-238,268-269,271-276]"
aPKC___CG9215,3,4,A,B,0.0000,0.0,0.0,0.0000,0.3687,0.0000,0.0000,0.0,0.0,0.2300,41.6,30.0,0.360,0,0,0,0,,,,,958,560,,,,
aPKC___CG9215,4,1,A,B,0.0000,0.0,0.0,0.0000,0.2738,0.0000,0.0000,0.0,0.0,0.2100,42.0,29.2,0.350,0,0,0,0,,,,,958,560,,,,
